title,Latitude,Longitude
"Subdivision, Barangay Niuyugan, Laurel, Batangas",14.083,120.9
"Subdivision, Barangay Ususan, Taguig City",14.533,121.05
"Subdivision, Barangay Candau-ay Dumaguete City, Negros Oriental",9.307,123.308
"Barangay Talon Tres, Las Piñas City, Metropolitan Manila",14.444,120.981
"Barangay Fairview, Quezon City, Metro Manila",14.6996,121.0641
"Barangay San Antonio, Pasig City, Metro Manila",14.583,121.067
"Building Camella Northpoint Condominium Complex, Davao City",7.092,125.613
"BARANGAY SUCAT, MUNTINLUPA CITY, METROPOLITAN MANILA",14.45,121.05
"Brgy Barandal, Calamba City, Province Of Laguna",14.1883,121.1306
"Barangay Poblacion, Makati City M.M.",14.5674,121.0319
"Barangay Fairview, Quezon City, Metro Manila",14.6996,121.0641
"Subdivision, Barangay Tanauan, Tanza, Cavite",14.3113,120.8312
"Subdivision, Trails 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
"Barangay Katipunan, Quezon City",14.65,121.07
"Barangay Bucandala IV, Imus City, Cavite",14.406,120.941
"Barangay Hulo, Mandaluyong City, Metro Manila",14.5703,121.0323
"Building 2, Aurora corner Balete Drive, Barangay Kaunlaran, Quezon City",14.626,121.045
"Barangay Sto. Cristo, Quezon City, Metro Manila",14.676,121.056
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
"Barangay 396, Zone 41 (Sampaloc), Manila City",14.61,121.02
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
"Subdivision, Brgy. Abilay Norte, Oton, Iloilo City",10.6931,122.4445
"Subdivision, Phase 1, Barangay San Antonio, San Pedro, Laguna",14.3658,121.0542
"Subdivision, Barangay Jibao-an, Pavia, Iloilo City",10.746,122.537
